Fecha,Sigla Empresa,Nombre,Origen,Nombre,Ciudad Origen,Departamento Origen,Pais Origen,Continente Origen,Destino,Nombre,Ciudad Destino,Departamento Destino,Pais Destino,Continente Destino,Tipo de Equipo,Tipo Vuelo,Tráfico,Número de Vuelos,Horas Bloque,Sillas Ofrecidas,Pasajeros A Bordo,Pasajeros Tránsito,Carga Ofrecida (Kg.),Carga + Correo A Bordo (Kg.),Carga Tránsito (Kg.)
01-Jul-22 00:00:00,0EC,SAE,SJE,SAN JOSE DEL GUAVIARE- JORGE E GONZ,SAN JOSE DEL GUAVIARE,GUAVIARE,COLOMBIA,SURAMERICA,MFS,MIRAFLORES,MIRAFLORES - GUAVIARE,GUAVIARE,COLOMBIA,SURAMERICA,C207,T,N,3.00,2.01,0.00,6.00,0.00,0.00,0.00,0.00
01-Jul-22 00:00:00,0EC,SAE,SJE,SAN JOSE DEL GUAVIARE- JORGE E GONZ,SAN JOSE DEL GUAVIARE,GUAVIARE,COLOMBIA,SURAMERICA,VVC,VANGUARDIA,VILLAVICENCIO,META,COLOMBIA,SURAMERICA,C207,T,N,1.00,0.83,0.00,0.00,0.00,0.00,45.00,0.00
01-Jul-22 00:00:00,0EC,SAE,SVI,SAN VICENTE DEL CAGUAN,SAN VICENTE DEL CAGUAN,CAQUETA,COLOMBIA,SURAMERICA,FLA,GUSTAVO ARTUNDUAGA PAREDES,FLORENCIA,CAQUETA,COLOMBIA,SURAMERICA,C207,T,N,1.00,0.42,0.00,0.00,0.00,0.00,45.00,0.00
01-Jul-22 00:00:00,0EC,SAE,URM,URIBE,LA URIBE,META,COLOMBIA,SURAMERICA,VVC,VANGUARDIA,VILLAVICENCIO,META,COLOMBIA,SURAMERICA,P28A,T,N,1.00,0.67,0.00,0.00,0.00,0.00,27.00,0.00
01-Jul-22 00:00:00,0EC,SAE,VVC,VANGUARDIA,VILLAVICENCIO,META,COLOMBIA,SURAMERICA,7HM,LLANO CAUCHO,CUMARIBO,VICHADA,COLOMBIA,SURAMERICA,P28A,T,N,3.00,4.91,0.00,3.00,0.00,0.00,72.00,0.00
01-Jul-22 00:00:00,0EC,SAE,VVC,VANGUARDIA,VILLAVICENCIO,META,COLOMBIA,SURAMERICA,7IV,AKAE,LA PRIMAVERA,VICHADA,COLOMBIA,SURAMERICA,P28A,T,N,1.00,1.67,0.00,0.00,0.00,0.00,27.00,0.00
01-Jul-22 00:00:00,0EC,SAE,VVC,VANGUARDIA,VILLAVICENCIO,META,COLOMBIA,SURAMERICA,A08,EL PLACER,CUMARIBO,VICHADA,COLOMBIA,SURAMERICA,P28A,T,N,2.00,4.5,0.00,2.00,0.00,0.00,54.00,0.00
01-Jul-22 00:00:00,0EC,SAE,VVC,VANGUARDIA,VILLAVICENCIO,META,COLOMBIA,SURAMERICA,BEN,BENEFICENCIA DE CUNDINAMARCA,BOGOTA,DISTRITO CAPITAL,COLOMBIA,SURAMERICA,P28A,T,N,1.00,2,0.00,2.00,0.00,0.00,45.00,0.00
01-Jul-22 00:00:00,0EC,SAE,VVC,VANGUARDIA,VILLAVICENCIO,META,COLOMBIA,SURAMERICA,CRU,CARURU,CARURU,VAUPES,COLOMBIA,SURAMERICA,C207,T,N,1.00,1.5,0.00,0.00,0.00,0.00,45.00,0.00
01-Jul-22 00:00:00,0EC,SAE,VVC,VANGUARDIA,VILLAVICENCIO,META,COLOMBIA,SURAMERICA,EYP,EL YOPAL,EL YOPAL,CASANARE,COLOMBIA,SURAMERICA,P28A,T,N,1.00,0.83,0.00,3.00,0.00,0.00,27.00,0.00
01-Jul-22 00:00:00,0EC,SAE,VVC,VANGUARDIA,VILLAVICENCIO,META,COLOMBIA,SURAMERICA,GYM,GUAYMARAL,CHIA,CUNDINAMARCA,COLOMBIA,SURAMERICA,C207,T,N,1.00,0.67,0.00,0.00,0.00,0.00,45.00,0.00
01-Jul-22 00:00:00,0EC,SAE,VVC,VANGUARDIA,VILLAVICENCIO,META,COLOMBIA,SURAMERICA,GYM,GUAYMARAL,CHIA,CUNDINAMARCA,COLOMBIA,SURAMERICA,P28A,T,N,1.00,0.83,0.00,0.00,0.00,0.00,10.00,0.00
01-Jul-22 00:00:00,0EC,SAE,VVC,VANGUARDIA,VILLAVICENCIO,META,COLOMBIA,SURAMERICA,LMC,LA MACARENA - META,LA MACARENA,META,COLOMBIA,SURAMERICA,C207,T,N,4.00,3.83,0.00,18.00,0.00,0.00,54.00,0.00
01-Jul-22 00:00:00,0EC,SAE,VVC,VANGUARDIA,VILLAVICENCIO,META,COLOMBIA,SURAMERICA,LMC,LA MACARENA - META,LA MACARENA,META,COLOMBIA,SURAMERICA,P28A,T,N,1.00,0.83,0.00,3.00,0.00,0.00,45.00,0.00
01-Jul-22 00:00:00,0EC,SAE,VVC,VANGUARDIA,VILLAVICENCIO,META,COLOMBIA,SURAMERICA,PCE,CUMARIBO,PUERTO CARRENO,VICHADA,COLOMBIA,SURAMERICA,C207,T,N,2.00,3.5,0.00,3.00,0.00,0.00,10.00,0.00
01-Jul-22 00:00:00,0EC,SAE,VVC,VANGUARDIA,VILLAVICENCIO,META,COLOMBIA,SURAMERICA,PCE,CUMARIBO,PUERTO CARRENO,VICHADA,COLOMBIA,SURAMERICA,P28A,T,N,1.00,1.83,0.00,0.00,0.00,0.00,10.00,0.00
01-Jul-22 00:00:00,0EC,SAE,VVC,VANGUARDIA,VILLAVICENCIO,META,COLOMBIA,SURAMERICA,PCR,GERMAN OLANO,PUERTO CARRENO,VICHADA,COLOMBIA,SURAMERICA,P28A,T,N,1.00,3,0.00,3.00,0.00,0.00,45.00,0.00
01-Jul-22 00:00:00,0EC,SAE,VVC,VANGUARDIA,VILLAVICENCIO,META,COLOMBIA,SURAMERICA,SVI,SAN VICENTE DEL CAGUAN,SAN VICENTE DEL CAGUAN,CAQUETA,COLOMBIA,SURAMERICA,C207,T,N,1.00,1,0.00,0.00,0.00,0.00,45.00,0.00
01-Jul-22 00:00:00,0EC,SAE,VVC,VANGUARDIA,VILLAVICENCIO,META,COLOMBIA,SURAMERICA,URM,URIBE,LA URIBE,META,COLOMBIA,SURAMERICA,P28A,T,N,1.00,0.67,0.00,3.00,0.00,0.00,45.00,0.00
