Sigla Empresa,Nombre,Fecha,Año,Número de Mes,Origen,Nombre,Ciudad Origen,Pais Origen,Destino,Nombre,Ciudad Destino,Pais Destino,Tráfico (N/I),Tipo Vuelo,Pasajeros,Carga + Correo (Kg)
0ED,GOOD FLY CO SAS,7/1/2022 0:00,2022,7,EJA,BARRANCABERMEJA-YARIGUIES,BARRANCABERMEJA,COLOMBIA,BGA,BUCARAMANGA - PALONEGRO,BUCARAMANGA,COLOMBIA,N,T,1.00,0.00
0ED,GOOD FLY CO SAS,7/1/2022 0:00,2022,7,EOH,MEDELLIN - OLAYA HERRERA,MEDELLIN,COLOMBIA,BGA,BUCARAMANGA - PALONEGRO,BUCARAMANGA,COLOMBIA,N,T,3.00,10.00
0ED,GOOD FLY CO SAS,7/1/2022 0:00,2022,7,EOH,MEDELLIN - OLAYA HERRERA,MEDELLIN,COLOMBIA,CAQ,CAUCASIA- JUAN H. WHITE,CAUCASIA,COLOMBIA,N,T,1.00,0.00
0ED,GOOD FLY CO SAS,7/1/2022 0:00,2022,7,EOH,MEDELLIN - OLAYA HERRERA,MEDELLIN,COLOMBIA,CLO,CALI - ALFONSO BONILLA ARAGON,CALI,COLOMBIA,N,T,0.00,0.00
0ED,GOOD FLY CO SAS,7/1/2022 0:00,2022,7,EOH,MEDELLIN - OLAYA HERRERA,MEDELLIN,COLOMBIA,GYM,GUAYMARAL,CHIA,COLOMBIA,N,T,2.00,20.00
0ED,GOOD FLY CO SAS,7/1/2022 0:00,2022,7,GYM,GUAYMARAL,CHIA,COLOMBIA,BGA,BUCARAMANGA - PALONEGRO,BUCARAMANGA,COLOMBIA,N,T,0.00,0.00
0ED,GOOD FLY CO SAS,7/1/2022 0:00,2022,7,HTZ,HATO COROZAL,HATO COROZAL,COLOMBIA,RVE,SARAVENA-COLONIZADORES,SARAVENA,COLOMBIA,N,T,2.00,10.00
0ED,GOOD FLY CO SAS,7/1/2022 0:00,2022,7,MDE,RIONEGRO - JOSE M. CORDOVA,RIONEGRO - ANTIOQUIA,COLOMBIA,EOH,MEDELLIN - OLAYA HERRERA,MEDELLIN,COLOMBIA,N,T,0.00,0.00
0ED,GOOD FLY CO SAS,7/1/2022 0:00,2022,7,MZL,MANIZALES - LA NUBIA,MANIZALES,COLOMBIA,EOH,MEDELLIN - OLAYA HERRERA,MEDELLIN,COLOMBIA,N,T,3.00,20.00
0ED,GOOD FLY CO SAS,7/1/2022 0:00,2022,7,PGT,MORELIA,PUERTO GAITAN,COLOMBIA,CUC,CAMILO DAZA,CUCUTA,COLOMBIA,N,T,4.00,10.00
0ED,GOOD FLY CO SAS,7/1/2022 0:00,2022,7,RVE,SARAVENA-COLONIZADORES,SARAVENA,COLOMBIA,AUC,ARAUCA - SANTIAGO PEREZ QUIROZ,ARAUCA - MUNICIPIO,COLOMBIA,N,T,2.00,10.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,7IV,AKAE,LA PRIMAVERA,COLOMBIA,VVC,VANGUARDIA,VILLAVICENCIO,COLOMBIA,N,T,5.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,A06,EL ENCANTO,EL ENCANTO,COLOMBIA,LCH,LA CHORRERA - VIRGILIO BARCO VARGAS,LA CHORRERA,COLOMBIA,N,T,3.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,A06,EL ENCANTO,EL ENCANTO,COLOMBIA,PUR,PUERTO ARICA,LETICIA,COLOMBIA,N,T,3.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,A13,MIRITI PARANA,MIRITI-PARANA,COLOMBIA,LPD,LA PEDRERA,LA PEDRERA,COLOMBIA,N,T,3.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,ACR,ARARACUARA,ARARACUARA,COLOMBIA,MFS,MIRAFLORES,MIRAFLORES - GUAVIARE,COLOMBIA,N,T,0.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,ACR,ARARACUARA,ARARACUARA,COLOMBIA,SJE,SAN JOSE DEL GUAVIARE- JORGE E GONZ,SAN JOSE DEL GUAVIARE,COLOMBIA,N,T,16.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,ARC,PERENCO,YOPAL,COLOMBIA,LCH,LA CHORRERA - VIRGILIO BARCO VARGAS,LA CHORRERA,COLOMBIA,N,T,3.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,ARC,PERENCO,YOPAL,COLOMBIA,SJE,SAN JOSE DEL GUAVIARE- JORGE E GONZ,SAN JOSE DEL GUAVIARE,COLOMBIA,N,T,2.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,AUC,ARAUCA - SANTIAGO PEREZ QUIROZ,ARAUCA - MUNICIPIO,COLOMBIA,EYP,EL YOPAL,EL YOPAL,COLOMBIA,N,T,1.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,AUC,ARAUCA - SANTIAGO PEREZ QUIROZ,ARAUCA - MUNICIPIO,COLOMBIA,RAV,CRAVO NORTE,CRAVO NORTE,COLOMBIA,N,T,0.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,AUC,ARAUCA - SANTIAGO PEREZ QUIROZ,ARAUCA - MUNICIPIO,COLOMBIA,RDN,RONDON,ARAUCA - MUNICIPIO,COLOMBIA,N,T,3.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,CRU,CARURU,CARURU,COLOMBIA,MFS,MIRAFLORES,MIRAFLORES - GUAVIARE,COLOMBIA,N,T,7.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,CRU,CARURU,CARURU,COLOMBIA,SJE,SAN JOSE DEL GUAVIARE- JORGE E GONZ,SAN JOSE DEL GUAVIARE,COLOMBIA,N,T,11.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,EYP,EL YOPAL,EL YOPAL,COLOMBIA,EYP,EL YOPAL,EL YOPAL,COLOMBIA,N,T,2.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,EYP,EL YOPAL,EL YOPAL,COLOMBIA,LPD,LA PEDRERA,LA PEDRERA,COLOMBIA,N,T,0.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,EYP,EL YOPAL,EL YOPAL,COLOMBIA,MAP,MAPIRIPAN,MAPIRIPAN,COLOMBIA,N,T,3.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,EYP,EL YOPAL,EL YOPAL,COLOMBIA,PCR,GERMAN OLANO,PUERTO CARRENO,COLOMBIA,N,T,1.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,EYP,EL YOPAL,EL YOPAL,COLOMBIA,PIM,LA PRIMAVERA,LA PRIMAVERA,COLOMBIA,N,T,1.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,EYP,EL YOPAL,EL YOPAL,COLOMBIA,RAV,CRAVO NORTE,CRAVO NORTE,COLOMBIA,N,T,5.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,EYP,EL YOPAL,EL YOPAL,COLOMBIA,RDN,RONDON,ARAUCA - MUNICIPIO,COLOMBIA,N,T,0.00,0.00
1AE,AERO APOYO,7/1/2022 0:00,2022,7,EYP,EL YOPAL,EL YOPAL,COLOMBIA,RVE,SARAVENA-COLONIZADORES,SARAVENA,COLOMBIA,N,T,0.00,0.00
